customerID,ACCT_BAL_TWD_MY,ACCT_BAL_TWD_MD,ACCT_BAL_TWD_FD,ACCT_BAL_TWD_FY,ACCT_BAL_TWD_MF,TVL_IND,TVL_AMT,Insight_Cha_001,SHP,PET,TVL,doubleCC_ind,GOV_TEAC_IND,CHILDREN_CN,EDU_CODE,INCOME_RANGE_CODE,WORK_YEARS,GENDER_CODE,AGE,CC_IND,WORLD_CARD_IND,PERSONAL_LN_IND,PAYROLL_ACCT_IND,PERSONAL_NET_FETW_IND,PERSONAL_NET_BANK_IND,INSURE_IND,PURE_CC_IND,MF_IND,WM_CLUB_MEM_IND,contact_seg,VIP_IND,SPT,CFE,BTY,CAR,FIN,ELE,FOD,SHW,EDU,HEA,SOC,POL,LIF,Insight_Cha_002,Insight_Cha_003,Insight_Cha_004,Insight_Cha_005,Insight_Cha_006,Insight_Cha_007,Insight_Cha_008,Insight_Cha_001_1,Insight_Cha_002_2,Insight_Cha_003_3,Insight_Cha_004_1,Insight_Cha_005_1,Insight_Cha_006_1,Insight_Cha_007_1,Insight_Cha_008_1,ONLINE_SHP_IND,res
146,2.0,168.0,1267.0,-1.0,61.0,0,0,1,0,0,0,0,0,0.0,6.0,1.0,0.0,0,77.0,0,0,0,0,1,1,1,0,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,89,30,0,23,0,0,1,0,0,0
147,9.0,40.0,-1.0,-1.0,-1.0,1,38,1,0,0,1,1,0,0.0,3.0,2.0,3.0,1,34.0,1,1,0,1,1,1,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,4,3,1,0,3,0,59,0,1,3
157,4.0,42.0,-1.0,45.0,262.0,0,0,1,0,0,0,0,0,0.0,6.0,2.0,0.0,0,68.0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67,3,0,0,0,0,0,0,0,0
161,16.0,0.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,6.0,1.0,0.0,0,76.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,3
162,1.0,13.0,73.0,85.0,-1.0,0,0,1,1,0,0,0,1,0.0,3.0,1.0,0.0,0,65.0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,0,1,0,0,0,0,0,3
163,0.0,84.0,481.0,505.0,292.0,0,0,1,0,0,0,0,0,0.0,4.0,1.0,0.0,0,64.0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,64,72,0,1,0,0,0,0,0,5
166,141.0,22.0,-1.0,-1.0,-1.0,1,58,1,1,0,0,0,0,0.0,6.0,1.0,0.0,0,54.0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,9,0,0,0,0,0,0,1,3
169,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1,0,0,0,1,0.0,5.0,2.0,0.0,1,67.0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
170,23.0,21.0,-1.0,202.0,-1.0,0,0,1,0,0,1,0,0,0.0,5.0,1.0,0.0,1,80.0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,33,6,0,8,0,0,0,2,0,0
175,10.0,21.0,-1.0,18.0,168.0,0,0,1,1,0,0,0,0,0.0,5.0,1.0,0.0,1,71.0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,4,0,0,0,0,0,0,1,0
